Collection_Date,RC_01,RC_02,RC_03,RC_04,RC_05,RC_06,RC_07,RC_08,RC_09,RC_10
10/27/2022,17.30917539,20.27168074,20.37482633,30.78586695,52.69769364,58.36138439,55.35428756,,,
11/11/2022,,,,,,,,198.9627383,194.9104137,212.0395386
11/13/2022,51.11945588,68.7864481,,,,,,,,
12/3/2022,14.20706214,18.32911511,68.51397321,,,,,,,
12/6/2022,,,,123.1299824,,,,,,
12/7/2022,,,,,,220.4342519,,,,
12/9/2022,,,,,,,,112.3195558,126.7325827,132.686909
12/14/2022,,,,,,,298.0241181,47.78567258,49.75376054,68.44873857
12/18/2022,,,50.9797767,48.27586322,248.7178042,65.99125334,1.283359943,,,
12/19/2022,45.88923613,65.82062599,,,,,,,,
1/2/2023,4.18E+01,4.50E+01,4.80E+01,,9.84E+01,1.26E+02,,,,
1/5/2023,,,,,,,137.5355046,139.7564047,150.0914619,
1/11/2023,,,,,25.54244145,25.30335669,26.31675582,24.95178891,28.34391169,
1/18/2023,,,,,,9.867210847,11.14462508,,,
2/1/2023,38.26537274,37.86853434,34.18983673,101.2474002,27.40003925,20.49673856,20.59798519,33.82946361,39.13561771,232.590463
2/15/2023,18.95872139,,20.85909981,16.37996229,29.2328328,36.23885945,38.48204488,,,
3/1/2023,19.34011197,50.45701329,21.39330451,18.2740238,,,,,,
3/5/2023,,,3.110646712,,,,,,,
3/9/2023,,,,,52.49886873,68.36474574,77.3932632,117.9079939,134.1873623,155.7048333
3/16/2023,48.89494788,58.6511431,59.18527236,75.65195604,81.51194325,96.35413317,103.5370352,,,
3/18/2023,,,,,,,,106.2124886,123.1189928,136.8448855
4/5/2023,,,,81.28834296,137.8057644,155.718136,153.319393,,167.4593226,181.1673796
5/16/2023,,172.2162155,160.1588125,91.34992324,,,,,,
5/31/2023,,0,,0.013742695,,119.3414412,120.0585137,,,
6/11/2023,,0.194810075,,0.369385571,111.4238271,1.438954501,1.577883357,,,
6/29/2023,162.239767,5.344856951,4.073095791,11.20014534,22.81591952,22.28133164,22.03807388,310.0050097,156.6858593,180.4190002
8/8/2023,0.271676724,8.491784007,0.532841073,4.726535454,0.317450749,0.448737152,1.214509712,,,
8/26/2023,13.38754198,16.22036987,14.51968892,27.42410888,22.80048323,24.79531338,26.74975676,27.34486965,30.99240146,36.79951599
9/7/2023,55.38588186,49.98192371,41.69893525,47.90182139,63.4562566,58.54270661,52.54793864,,,
9/28/2023,,0.062059998,0.09391457,0.004227474,,0.006980352,0.007282967,,,
10/12/2023,4.913502203,5.679,5.735,3.648,4.32,5.059,5.099,,,
11/3/2023,,,,,,,,120.4112327,122.3238014,128.5536028
